Today's Date:	20 May 2019	Date of Test:	17 May 2019, 09:09:25 AM
Filename:	AA	Tester Channel:	2
Procedure:	BB	Description:	AA
Comment:	AA Stored @ 25°C Test @ 25° Initial test
Rec	Cycle	Step	Test Time (sec)	Step Time (sec)	Capacity	Energy	Current	Voltage	MD	ES	DPT Time	ACImp/Ohms	DCIR/Ohms	Aux #1	 Units	VAR2	VAR5	VAR8	VAR11	VAR14	
1	1	3	0	0	0	0	0	3.59884	R	0	05/17/2019 9:09:25 AM	0.00000	0.00000	25.28414	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
2	1	3	10.0004	10.0004	0	0	0	3.59823	R	1	05/17/2019 9:09:35 AM	0.00000	0.00000	25.28414	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
3	1	3	20.0008	20.0008	0	0	0	3.59823	R	1	05/17/2019 9:09:45 AM	0.00000	0.00000	25.28414	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
4	1	3	30.0012	30.0012	0	0	0	3.59823	R	1	05/17/2019 9:09:55 AM	0.00000	0.00000	25.28414	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
5	1	3	40.0016	40.0016	0	0	0	3.59823	R	1	05/17/2019 9:10:05 AM	0.00000	0.00000	25.29939	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
6	1	3	50.002	50.002	0	0	0	3.598383	R	1	05/17/2019 9:10:15 AM	0.00000	0.00000	25.28414	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
7	1	3	60.0024	60.0024	0	0	0	3.59823	R	1	05/17/2019 9:10:25 AM	0.00000	0.00000	25.29939	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
8	1	3	70.0028	70.0028	0	0	0	3.59823	R	1	05/17/2019 9:10:35 AM	0.00000	0.00000	25.29939	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
9	1	3	80.0032	80.0032	0	0	0	3.59823	R	1	05/17/2019 9:10:45 AM	0.00000	0.00000	25.28414	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
10	1	3	90.0036	90.0036	0	0	0	3.598077	R	1	05/17/2019 9:10:55 AM	0.00000	0.00000	25.28414	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
11	1	3	100.004	100.004	0	0	0	3.598383	R	1	05/17/2019 9:11:05 AM	0.00000	0.00000	25.28414	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
12	1	3	110.0044	110.0044	0	0	0	3.598383	R	1	05/17/2019 9:11:15 AM	0.00000	0.00000	25.28414	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
13	1	3	120.0048	120.0048	0	0	0	3.598383	R	1	05/17/2019 9:11:25 AM	0.00000	0.00000	25.28414	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
14	1	3	130.0052	130.0052	0	0	0	3.598383	R	1	05/17/2019 9:11:35 AM	0.00000	0.00000	25.28414	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
15	1	3	140.0056	140.0056	0	0	0	3.59823	R	1	05/17/2019 9:11:45 AM	0.00000	0.00000	25.28414	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
16	1	3	150.006	150.006	0	0	0	3.598383	R	1	05/17/2019 9:11:55 AM	0.00000	0.00000	25.28414	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
17	1	3	160.0064	160.0064	0	0	0	3.59823	R	1	05/17/2019 9:12:05 AM	0.00000	0.00000	25.28414	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
18	1	3	170.0068	170.0068	0	0	0	3.59823	R	1	05/17/2019 9:12:15 AM	0.00000	0.00000	25.29939	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
19	1	3	180.0072	180.0072	0	0	0	3.598077	R	1	05/17/2019 9:12:25 AM	0.00000	0.00000	25.28414	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
20	1	3	190.0076	190.0076	0	0	0	3.59823	R	1	05/17/2019 9:12:35 AM	0.00000	0.00000	25.29939	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
21	1	3	200.008	200.008	0	0	0	3.59823	R	1	05/17/2019 9:12:45 AM	0.00000	0.00000	25.29939	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
22	1	3	210.0084	210.0084	0	0	0	3.59823	R	1	05/17/2019 9:12:55 AM	0.00000	0.00000	25.29939	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
23	1	3	220.0088	220.0088	0	0	0	3.59823	R	1	05/17/2019 9:13:05 AM	0.00000	0.00000	25.29939	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
24	1	3	230.0092	230.0092	0	0	0	3.598383	R	1	05/17/2019 9:13:15 AM	0.00000	0.00000	25.28414	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
25	1	3	240.0096	240.0096	0	0	0	3.59823	R	1	05/17/2019 9:13:25 AM	0.00000	0.00000	25.28414	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
26	1	3	250.01	250.01	0	0	0	3.598383	R	1	05/17/2019 9:13:35 AM	0.00000	0.00000	25.28414	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
27	1	3	260.0104	260.0104	0	0	0	3.59823	R	1	05/17/2019 9:13:45 AM	0.00000	0.00000	25.26888	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
28	1	3	270.0108	270.0108	0	0	0	3.59823	R	1	05/17/2019 9:13:55 AM	0.00000	0.00000	25.26888	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
29	1	3	280.0112	280.0112	0	0	0	3.59823	R	1	05/17/2019 9:14:05 AM	0.00000	0.00000	25.26888	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
30	1	3	290.0116	290.0116	0	0	0	3.598383	R	1	05/17/2019 9:14:15 AM	0.00000	0.00000	25.26888	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
31	1	3	299.9982	299.9982	0	0	0	3.598383	R	129	05/17/2019 9:14:25 AM	0.00000	0.00000	25.28414	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
32	1	4	300.0672	0.069	0	0	0.000128	3.598077	C	0	05/17/2019 9:14:25 AM	0.00000	0.00000	25.28414	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
